ref_id,status,source_file,source_name,data_version,normalized_status,region_count,size_x,size_y,size_z,bounding_volume,non_air_blocks,air_blocks,occupancy_ratio,unique_block_states,unique_block_types,palette_entropy,wood_ratio,stone_ratio,glass_ratio,metal_ratio,decorative_ratio,functional_block_ratio,unknown_material_ratio,footprint_area,solid_volume,surface_area_estimate,width_height_ratio,depth_height_ratio,symmetry_x,symmetry_z,exterior_shell_ratio,interior_air_ratio,estimated_floor_count,floor_detection_confidence,usable_floor_area,door_count,exterior_door_candidates,window_count_estimate,stair_count,stair_cluster_count,ladder_count,vertical_access_candidates,walkable_voxels,walkable_components,largest_component_ratio,isolated_space_count,vertical_connections,dead_end_count,ir_source
REF-0070,OK,晶化木屋.litematic,晶化木屋,3465,MIGRATED,1,51,81,75,309825,13648,296177,0.044051,182,64,5.643080167919557,0.264141,0.27308,0.000147,0.001172,0.151304,0.28854,0.021615,1887,13648,28328,0.6296,0.9259,0.0999,0.1669,0.643831,0.02411,UNKNOWN,low,UNKNOWN,9,7,2,902,125,0,125,4992,1277,0.1384,69,573,942,normalized
REF-0071,OK,月宫.litematic,月宫,3465,LEGACY_SAFE,1,69,68,73,342516,13390,329126,0.039093,183,56,5.096231103742994,0.211277,0.5882,0.047573,0.003659,0.08581,0.06348,0.0,1919,13390,25032,1.0147,1.0735,0.1362,0.0398,0.814638,0.000289,UNKNOWN,low,UNKNOWN,0,0,637,780,102,0,102,3756,571,0.2519,28,2015,391,normalized
REF-0072,OK,杜鹃花树_普通_十一.litematic,杜鹃花树_普通_十一,3465,LEGACY_SAFE,1,14,18,14,3528,813,2715,0.230442,25,6,3.76895592332261,0.114391,0.241082,0.0,0.0,0.624846,0.01968,0.0,196,813,2042,0.7778,0.7778,0.3897,0.4213,0.876999,0.003968,2,high,267,0,0,0,0,0,0,0,235,42,0.7745,0,0,24,normalized
REF-0073,OK,林中地精小屋.litematic,林中地精小屋,4438,LEGACY_SAFE,1,47,23,40,43240,6300,36940,0.145698,163,75,3.5388225254784893,0.113651,0.753651,0.001905,0.002381,0.080635,0.041905,0.005873,1880,6300,8618,2.0435,1.7391,0.6345,0.6995,0.445873,0.019981,1,medium,1876,2,2,12,102,43,0,43,2148,247,0.7505,7,288,118,normalized
REF-0074,OK,森林观测塔.litematic,森林观测塔,3465,MIGRATED,1,22,44,19,18392,3986,14406,0.216725,99,44,4.369230426763113,0.321626,0.387858,0.0,0.001004,0.133969,0.155544,0.0,415,3986,6780,0.5,0.4318,0.3558,0.72,0.503512,0.044585,2,high,389,2,1,0,4,4,49,18,939,248,0.2109,10,202,168,normalized
REF-0075,OK,樱花日式民家.litematic,樱花日式民家,4189,LEGACY_SAFE,1,70,37,78,202020,13478,188542,0.066716,265,86,6.027664058187514,0.191571,0.175768,0.0,0.0,0.379582,0.1728,0.080279,2914,13478,25534,1.8919,2.1081,0.1829,0.2367,0.740466,0.007093,1,medium,2302,0,0,0,552,153,17,164,4372,788,0.2962,31,1219,698,normalized
REF-0076,OK,樱花町屋.litematic,樱花町屋,4189,MIGRATED,1,85,82,83,578510,12785,565725,0.0221,416,120,6.4045647150331675,0.231208,0.43989,0.005006,0.001721,0.097849,0.223387,0.000939,2115,12785,27790,1.0366,1.0122,0.097,0.2416,0.86797,9.5e-05,UNKNOWN,low,UNKNOWN,0,0,64,1060,122,0,122,5523,557,0.1764,52,3219,545,normalized
REF-0077,OK,欧式酒馆.litematic,欧式酒馆,3120,MIGRATED,1,73,74,52,280904,17977,262927,0.063997,398,120,5.240602291898185,0.150915,0.652834,0.008233,0.007899,0.059799,0.118429,0.001891,3796,17977,35496,0.9865,0.7027,0.3788,0.2376,0.829004,0.007237,2,high,5685,3,3,148,1588,198,217,226,6946,434,0.5487,63,983,496,normalized
REF-0078,OK,水之庄园.litematic,水之庄园,4189,MIGRATED,1,49,51,63,157437,16600,140837,0.105439,303,111,5.6375051489909564,0.170422,0.423313,0.039277,0.007651,0.114578,0.178735,0.066024,1920,16600,24572,0.9608,1.2353,0.697,0.3866,0.669759,0.000476,2,high,2822,2,2,652,1644,337,0,337,4410,572,0.4889,29,1453,464,normalized
REF-0079,OK,水池小凉亭.litematic,水池小凉亭,4438,LEGACY_SAFE,1,15,10,18,2700,896,1804,0.331852,40,20,4.037242877976379,0.137277,0.632812,0.0,0.003348,0.0,0.160714,0.065848,270,896,1506,1.5,1.8,1.0,0.7603,0.638393,0.0,2,high,358,0,0,0,91,17,0,17,375,4,0.6133,3,164,10,normalized
REF-0080,OK,池塘樱花树.litematic,池塘樱花树,4438,LEGACY_SAFE,1,21,20,21,8820,3197,5623,0.362472,106,45,3.8432674199592967,0.103222,0.537066,0.122615,0.0,0.186738,0.030654,0.019706,441,3197,4484,1.05,1.05,0.5184,0.517,0.466688,0.000454,2,high,404,0,0,392,20,15,0,15,773,102,0.4644,15,143,134,normalized
REF-0081,OK,沙漠建筑_射箭场.litematic,沙漠建筑_射箭场,4438,LEGACY_SAFE,1,22,11,23,5566,2205,3361,0.396155,59,31,2.697810851438357,0.088435,0.824036,0.0,0.0,0.014966,0.072562,0.0,506,2205,2542,2.0,2.0909,0.6213,0.9609,0.418594,0.020841,2,high,693,1,1,0,10,8,5,9,637,31,0.6923,6,148,27,normalized
REF-0082,OK,沙漠建筑_铁匠铺.litematic,沙漠建筑_铁匠铺,4438,LEGACY_SAFE,1,16,20,18,5760,1685,4075,0.292535,69,37,3.4103692716595497,0.111573,0.737685,0.0,0.000593,0.046884,0.103264,0.0,288,1685,2364,0.8,0.9,0.4703,0.6833,0.449852,0.041319,3,high,296,4,3,0,11,8,5,9,467,40,0.5075,5,123,42,normalized
REF-0083,OK,沼泽地村庄.litematic,沼泽地村庄,4438,LEGACY_SAFE,1,80,39,82,255840,54416,201424,0.212695,119,38,3.1479066072334176,0.095119,0.564191,0.002518,0.002481,0.017918,0.049857,0.267918,6560,54416,29344,2.0513,2.1026,0.7697,0.7798,0.213375,0.005445,1,medium,2502,37,36,137,232,22,344,136,10093,258,0.3345,83,790,256,normalized
REF-0084,OK,沼泽城.litematic,沼泽城,3465,MIGRATED,1,118,142,140,2345840,81085,2264755,0.034565,293,77,3.391093496634014,0.354862,0.018968,0.0,0.000197,0.601924,0.024049,0.0,7206,81085,204546,0.831,0.9859,0.074,0.1507,0.689375,0.000485,UNKNOWN,low,UNKNOWN,3,3,0,505,105,2884,752,22491,14105,0.0209,153,2219,7191,normalized
REF-0085,OK,法师居所.litematic,法师居所,3953,MIGRATED,1,33,63,46,95634,6813,88821,0.07124,285,112,6.124741048090912,0.189637,0.453251,0.004697,0.053574,0.046529,0.252312,0.0,967,6813,14334,0.5238,0.7302,0.1882,0.2506,0.899604,0.000795,1,medium,917,2,2,32,501,132,29,134,2293,486,0.3515,32,580,416,normalized
REF-0086,OK,法术学院.litematic,法术学院,4438,LEGACY_SAFE,1,72,65,114,533520,30913,502607,0.057942,59,28,2.724638771209375,0.030311,0.756995,0.003752,0.005079,0.174651,0.018924,0.010287,8208,30913,59154,1.1077,1.7538,0.7049,0.2521,0.803287,0.002324,1,medium,8176,10,10,116,6,6,0,6,13931,1020,0.4397,174,18,945,normalized
REF-0087,OK,泰姬陵.litematic,泰姬陵,3465,LEGACY_SAFE,1,98,46,98,441784,25496,416288,0.057711,51,18,1.357137597125384,0.003059,0.941089,0.007844,0.023259,0.0,0.021925,0.002824,8548,25496,53498,2.1304,2.1304,0.6572,0.4739,0.917046,0.006062,1,medium,7651,2,2,200,84,6,28,9,13214,667,0.8237,55,1166,611,normalized
REF-0088,OK,海晶石白色小教堂.litematic,海晶石白色小教堂,4438,LEGACY_SAFE,1,15,23,15,5175,1181,3994,0.228213,24,10,3.029179095234494,0.0,0.923793,0.069433,0.0,0.006774,0.0,0.0,225,1181,2434,0.6522,0.6522,0.9849,1.0,0.941575,0.0,3,high,408,0,0,82,66,19,0,19,355,4,0.4676,3,80,24,normalized
REF-0089,OK,深板岩地狱门.litematic,深板岩地狱门,4438,LEGACY_SAFE,1,6,6,3,108,79,29,0.731481,15,8,3.5393368885152037,0.0,0.772152,0.0,0.0,0.075949,0.151899,0.0,18,79,158,1.0,0.5,0.975,0.8588,0.670886,0.0,1,medium,18,0,0,0,8,4,0,4,28,6,0.6429,0,22,0,normalized
REF-0090,OK,深板岩城堡.litematic,深板岩城堡,3953,MIGRATED,1,147,133,148,2893548,99586,2793962,0.034417,756,203,5.786642213841804,0.135501,0.616211,0.0,0.002862,0.021439,0.223515,0.000472,9459,99586,177368,1.1053,1.1128,0.1072,0.3156,0.725785,0.015833,UNKNOWN,low,UNKNOWN,65,32,0,5920,1199,270,1253,26633,2943,0.5007,310,6935,2604,normalized
REF-0091,OK,灰熊要塞.litematic,灰熊要塞,4438,LEGACY_SAFE,1,66,38,53,132924,27904,105020,0.209924,110,56,4.037239265194954,0.230039,0.596079,0.017883,0.010034,0.067732,0.053469,0.024763,3428,27904,45900,1.7368,1.3947,0.3565,0.3217,0.598982,0.061471,2,high,4135,31,17,499,120,31,47,41,8562,549,0.4637,115,1021,657,normalized
REF-0092,OK,玫瑰堡.litematic,玫瑰堡,4189,MIGRATED,1,68,51,43,149124,9613,139511,0.064463,585,222,7.087873902416892,0.178196,0.436492,0.004785,0.007594,0.157183,0.213877,0.001872,1794,9613,18410,1.3333,0.8431,0.1233,0.3069,0.63851,0.011454,1,medium,935,9,5,46,599,147,70,176,3413,607,0.4919,23,1119,464,normalized
REF-0093,OK,白塔天守阁.litematic,白塔天守阁,4189,MIGRATED,1,82,68,79,440504,12189,428315,0.027671,277,75,5.777023796678951,0.217737,0.26286,0.005087,0.001149,0.092789,0.420379,0.0,1937,12189,26070,1.2059,1.1618,0.1327,0.1503,0.868078,0.000188,UNKNOWN,low,UNKNOWN,0,0,62,1018,119,0,119,5299,373,0.1866,52,3181,383,normalized
REF-0094,OK,白桦木商铺.litematic,白桦木商铺,3465,LEGACY_SAFE,1,16,16,23,5888,1919,3969,0.325917,110,53,5.238301352476865,0.282439,0.437207,0.03752,0.0,0.090672,0.145909,0.006253,368,1919,3342,1.0,1.4375,0.41,0.5998,0.519541,0.086277,2,medium,258,2,2,72,202,18,51,36,652,37,0.8543,3,426,56,normalized
REF-0095,OK,白桦树_中_三.litematic,白桦树_中_三,3465,LEGACY_SAFE,1,31,19,27,15903,1331,14572,0.083695,2,2,0.9251490411312839,0.340346,0.0,0.0,0.0,0.659654,0.0,0.0,480,1331,4416,1.6316,1.4211,0.2089,0.1959,0.871525,0.002955,UNKNOWN,low,UNKNOWN,0,0,0,0,0,0,0,538,422,0.0149,0,0,123,normalized
REF-0096,OK,白色沙漠小帐篷.litematic,白色沙漠小帐篷,4438,LEGACY_SAFE,1,7,8,8,448,170,278,0.379464,25,14,3.492254828542485,0.170588,0.505882,0.0,0.0,0.288235,0.035294,0.0,56,170,366,0.875,1.0,0.954,0.7172,0.805882,0.0,1,medium,18,0,0,0,0,0,0,0,60,17,0.1167,0,10,20,normalized
REF-0097,OK,监守者地狱门.litematic,监守者地狱门,3465,LEGACY_SAFE,1,31,23,32,22816,2123,20693,0.093049,9,9,2.031151717747734,0.0,0.17805,0.0,0.0,0.330664,0.030617,0.460669,584,2123,4488,1.3478,1.3913,0.3017,0.9804,0.993406,0.0,1,medium,455,0,0,0,0,0,0,0,641,21,0.3136,5,0,20,normalized
REF-0098,OK,石质小教堂.litematic,石质小教堂,4438,LEGACY_SAFE,1,17,22,16,5984,1425,4559,0.238135,23,13,2.4420728711781985,0.154386,0.775439,0.013333,0.0,0.0,0.056842,0.0,272,1425,2796,0.7727,0.7273,0.5531,0.5356,0.362105,0.16611,2,high,193,2,2,19,46,5,0,5,541,31,0.329,18,107,37,normalized
REF-0099,OK,石质教堂.litematic,石质教堂,3465,MIGRATED,1,28,52,42,61152,6224,54928,0.101779,44,21,2.1205578501746634,0.019441,0.691517,0.142513,0.005141,0.001607,0.135283,0.004499,1137,6224,13146,0.5385,0.8077,0.9572,0.2531,0.907616,0.000392,1,medium,727,6,6,887,424,21,0,21,1505,434,0.0757,35,303,278,normalized
REF-0100,OK,秘境药师.litematic,秘境药师,3105,MIGRATED,1,50,61,46,140300,8805,131495,0.062758,215,93,4.754830451493001,0.087337,0.497445,0.0,0.002612,0.250312,0.156388,0.005906,2300,8805,13036,0.8197,0.7541,0.5698,0.5518,0.622828,0.005602,1,medium,1342,1,1,0,420,85,11,86,2991,228,0.3775,29,294,203,normalized
REF-0101,OK,童话花园地块.litematic,童话花园地块,4438,LEGACY_SAFE,1,34,24,34,27744,8353,19391,0.301074,63,28,3.1442101603782513,0.015803,0.80067,0.110619,0.0,0.052556,0.0,0.020352,1156,8353,8286,1.4167,1.4167,0.6446,0.6305,0.314618,0.000541,1,medium,775,0,0,924,64,16,0,16,1594,329,0.244,17,127,270,normalized
REF-0102,OK,精灵领袖之树.litematic,精灵领袖之树,4438,LEGACY_SAFE,1,43,55,37,87505,7887,79618,0.090132,46,23,3.0489427908069726,0.505135,0.24496,0.016229,0.0,0.159123,0.068467,0.006086,1591,7887,18898,0.7818,0.6727,0.2075,0.3936,0.908457,0.032181,1,medium,1591,0,0,128,266,19,0,19,3706,528,0.5761,33,432,507,normalized
REF-0103,OK,糖果城堡.litematic,糖果城堡,4438,LEGACY_SAFE,1,59,107,57,359841,50430,309411,0.140145,234,102,4.05269889283773,0.001884,0.714912,0.012413,0.013742,0.249415,0.007515,0.000119,3269,50430,44104,0.5514,0.5327,0.4994,0.446,0.348443,0.010132,3,medium,3692,37,32,626,1552,266,0,266,6917,1312,0.0885,109,734,841,normalized
REF-0104,OK,红白小宫殿.litematic,红白小宫殿,3465,MIGRATED,1,34,55,43,80410,8998,71412,0.111902,252,65,5.37339222839846,0.017448,0.76317,0.020449,0.078128,0.054345,0.066459,0.0,1046,8998,16178,0.6182,0.7818,0.3382,0.2943,0.849522,0.003296,2,high,1831,7,7,184,833,197,0,197,2807,298,0.2006,44,730,230,normalized
REF-0105,OK,绞刑架.litematic,绞刑架,4438,LEGACY_SAFE,1,9,8,9,648,132,516,0.203704,34,11,4.384003067197523,0.159091,0.098485,0.0,0.0,0.0,0.742424,0.0,61,132,366,1.125,1.125,0.2816,0.9556,0.962121,0.0,1,medium,53,0,0,0,18,6,0,6,66,8,0.7121,1,17,17,normalized
REF-0106,OK,羽蛇神雕像.litematic,羽蛇神雕像,4438,LEGACY_SAFE,1,92,110,84,850080,21098,828982,0.024819,33,14,3.0719800619479916,4.7e-05,0.810693,0.0,0.0,0.18926,0.0,0.0,4232,21098,63002,0.8364,0.7636,0.129,0.1587,0.994502,8.9e-05,1,medium,3642,0,0,0,0,0,683,239,12411,2712,0.2615,241,242,2405,normalized
REF-0107,OK,茶坊.litematic,茶坊,3465,MIGRATED,1,46,41,49,92414,5365,87049,0.058054,398,137,6.944578176817804,0.171295,0.296179,0.021249,0.010438,0.156011,0.343523,0.001305,814,5365,8988,1.122,1.1951,0.2491,0.2487,0.520224,0.016837,1,medium,713,3,3,114,339,52,47,64,1559,241,0.5125,18,433,233,normalized
REF-0108,OK,菲木静居.litematic,菲木静居,3465,MIGRATED,1,92,105,107,1033620,64027,969593,0.061944,430,123,4.079836900383052,0.191357,0.095069,0.011292,0.000203,0.60765,0.09396,0.000469,5614,64027,146652,0.8762,1.019,0.0878,0.1373,0.836007,0.005547,UNKNOWN,low,UNKNOWN,10,10,723,1064,281,47,282,20448,8767,0.1251,176,2547,6267,normalized
REF-0109,OK,蔓生精灵庄园.litematic,蔓生精灵庄园,3953,MIGRATED,1,54,83,81,363042,34446,328596,0.094882,261,99,5.718361516073001,0.223161,0.310167,0.005255,0.002061,0.337282,0.11804,0.004035,4374,34446,56322,0.6506,0.9759,0.3377,0.2228,0.789439,0.00487,2,high,6078,0,0,181,1052,292,10,294,12153,1216,0.3599,144,857,1161,normalized
REF-0110,OK,观星者月宿.litematic,观星者月宿,3953,LEGACY_SAFE,1,39,64,50,124800,5539,119261,0.044383,143,56,4.913409435784458,0.10742,0.238491,0.192273,0.002528,0.356924,0.102004,0.000361,861,5539,10072,0.6094,0.7812,0.1927,0.3796,0.731721,1.6e-05,1,medium,735,1,1,1065,298,98,212,224,1353,399,0.2882,22,398,281,normalized
REF-0111,OK,许愿之塔.litematic,许愿之塔,3953,LEGACY_SAFE,1,30,86,29,74820,7942,66878,0.106148,138,61,4.3451122606272055,0.234827,0.632712,0.001763,0.001511,0.065852,0.063334,0.0,420,7942,8276,0.3488,0.3372,0.6855,0.5341,0.442458,0.003502,1,medium,310,0,0,14,183,74,36,89,1039,352,0.1578,18,39,225,normalized
REF-0112,OK,诡异菌树_五.litematic,诡异菌树_五,3465,LEGACY_SAFE,1,8,12,9,864,167,697,0.193287,11,9,2.534081632685697,0.113772,0.538922,0.0,0.0,0.131737,0.017964,0.197605,72,167,494,0.6667,0.75,0.4153,0.5981,0.958084,0.001157,2,high,100,0,0,0,0,0,0,0,114,32,0.5877,0,0,18,normalized
REF-0113,OK,象牙城堡.litematic,象牙城堡,3465,MIGRATED,1,210,160,263,8836800,1156099,7680701,0.130828,701,125,2.7492044814018204,0.007175,0.923999,0.000666,0.000811,0.020015,0.003411,0.043924,35370,1156099,269298,1.3125,1.6438,0.474,0.7115,0.0955,0.000781,1,medium,16944,16,16,770,4052,1365,0,1365,48344,14659,0.1058,783,5016,9546,normalized
REF-0114,OK,运输空港.litematic,运输空港,2975,MIGRATED,1,81,55,84,374220,17926,356294,0.047902,475,107,6.3597461420083965,0.092268,0.628194,0.073246,0.007475,0.069396,0.127413,0.002008,3316,17926,32532,1.4727,1.5273,0.5642,0.289,0.848711,0.001486,1,medium,2504,4,4,1313,2536,340,14,348,5947,431,0.5194,57,1297,512,normalized
REF-0115,OK,部落巢穴.litematic,部落巢穴,3465,MIGRATED,1,45,51,64,146880,4789,142091,0.032605,204,75,5.614008223620367,0.559825,0.101691,0.0,0.00167,0.059929,0.274796,0.002088,1089,4789,9302,0.8824,1.2549,0.3426,0.0997,0.883274,0.000225,1,medium,960,0,0,0,346,72,22,88,1585,241,0.4719,18,486,285,normalized
REF-0116,OK,钟楼_二.litematic,钟楼_二,3465,MIGRATED,1,27,56,25,37800,3363,34437,0.088968,86,36,4.404845997581718,0.234909,0.455546,0.005947,0.011894,0.190306,0.094558,0.006839,675,3363,6490,0.4821,0.4464,0.3522,0.3191,0.713649,0.010767,1,medium,255,1,1,20,272,50,73,68,1103,171,0.5295,13,360,133,normalized
REF-0117,OK,闪长岩安山岩棺椁.litematic,闪长岩安山岩棺椁,3465,MIGRATED,1,8,7,5,280,76,204,0.271429,25,9,3.9698110652780976,0.0,0.697368,0.0,0.0,0.078947,0.223684,0.0,40,76,184,1.1429,0.7143,0.5833,1.0,0.75,0.0,1,medium,16,0,0,0,26,5,0,5,42,5,0.8095,0,15,6,normalized
REF-0118,OK,阿特拉斯护腕之塔.litematic,阿特拉斯护腕之塔,3953,LEGACY_SAFE,1,40,47,39,73320,6325,66995,0.086266,54,25,4.970601424011398,0.156206,0.429565,0.098182,0.0,0.079051,0.236996,0.0,1099,6325,15158,0.8511,0.8298,0.3726,0.9918,0.98166,0.0,1,medium,473,1,1,621,850,218,0,218,1548,438,0.1835,15,610,455,normalized
REF-0119,OK,风车房.litematic,风车房,2975,LEGACY_SAFE,1,26,25,20,13000,1670,11330,0.128462,72,23,4.313419574167609,0.166467,0.55509,0.0,0.0,0.025749,0.252695,0.0,520,1670,4006,1.04,0.8,0.3254,0.4714,0.899401,0.006462,2,high,783,2,2,0,169,28,10,30,836,45,0.8158,3,165,52,normalized
REF-0120,OK,高等精灵之塔.litematic,高等精灵之塔,4438,LEGACY_SAFE,1,13,32,13,5408,1077,4331,0.199149,68,17,4.926841166810181,0.034355,0.711235,0.0,0.0,0.0,0.25441,0.0,77,1077,2156,0.4062,0.4062,0.8928,0.8928,0.870009,0.0,4,high,246,0,0,0,325,24,0,24,256,36,0.832,0,138,26,normalized
REF-0121,OK,魔幻中世纪小屋.litematic,魔幻中世纪小屋,3465,MIGRATED,1,47,49,66,151998,15681,136317,0.103166,471,155,6.3706902887285155,0.318921,0.36286,0.0,0.005293,0.058096,0.254767,6.4e-05,1384,15681,21248,0.9592,1.3469,0.2496,0.3343,0.75888,0.00073,UNKNOWN,low,UNKNOWN,1,1,0,933,187,28,205,3382,321,0.3616,83,625,451,normalized
REF-0122,OK,魔法空岛小屋.litematic,魔法空岛小屋,3465,MIGRATED,1,31,116,31,111476,8315,103161,0.07459,156,57,5.635596659902199,0.178352,0.443416,0.075406,0.010102,0.155622,0.137102,0.0,691,8315,19714,0.2672,0.2672,0.2902,0.2244,0.685147,0.060901,1,medium,432,3,3,627,535,145,0,145,2256,1013,0.0559,35,354,603,normalized
REF-0123,OK,京町家修复.litematic,江户后期京都呉服商町家院落,4903,CURRENT_NATIVE,2,29,20,74,42920,12188,30732,0.28397,50,40,3.436789035283008,0.277896,0.687808,0.01001,0.0,0.009353,0.014276,0.000656,2107,12188,17220,1.45,3.7,0.5212,0.412,0.732114,0.0,2,high,1921,0,0,122,1488,13,0,13,3872,61,0.3605,22,962,88,normalized
